Experiment,rev,typ,Created,parent,system.gpu.count,system.gpu.usage (%).0,system.gpu.usage (%).1,system.gpu.usage (%).2,system.gpu.usage (%).3,system.vram.usage (%).0,system.vram.usage (%).1,system.vram.usage (%).2,system.vram.usage (%).3,system.vram.usage (GB).0,system.vram.usage (GB).1,system.vram.usage (GB).2,system.vram.usage (GB).3,system.vram.total (GB).0,system.vram.total (GB).1,system.vram.total (GB).2,system.vram.total (GB).3,system.cpu.count,system.cpu.usage (%),system.cpu.parallelization (%),system.ram.usage (%),system.ram.usage (GB),system.ram.total (GB),system.disk.usage (%).main,system.disk.usage (GB).main,system.disk.total (GB).main,val.loss.-0.95,val.loss.-0.9,val.loss.-0.8,val.loss.-0.7,val.loss.-0.6,val.loss.-0.5,val.loss.-0.4,val.loss.-0.29,val.loss.-0.19,val.loss.-0.09,val.loss.0.0,val.loss.0.099,val.loss.0.200,val.loss.0.300,val.loss.0.4,val.loss.0.500,val.loss.0.6,val.loss.0.700,val.loss.0.800,val.loss.0.9,val.loss.0.975,val.loss.0.997,val.loss.upside_quantile,val.loss.ugliness,val.loss.MEAN,upper_quantile.train,upper_quantile.val,simple_upside.train,simple_upside.val,real_upside.train,real_upside.val,real_upside_50pct.train,real_upside_50pct.val,threshold_down.train,threshold_down.val,threshold_up.train,threshold_up.val,good_hours.train,good_hours.val,step_size,step,val.loss.-0.96,val.loss.0.974,val.loss.0.973,val.loss.0.971,val.loss.0.970,val.loss.-0.97,val.loss.0.966,val.loss.0.996,val.loss.0.967,val.loss.0.972,COLLECT_BUY_MINUTES,BUY_TIMEDELTA,train_model/params.yaml:LAST_DAYS_TRAIN,train_model/params.yaml:LAST_DAYS_VALIDATION,FOLDS_COUNT,KEEP_DATASET,DATASET_SPEEDUP,EXPECTED_MINIMAL_UPSIDE,MAX_UPSIDE,FORCE_RETRAIN,BUY_MINUTES,USE_ALL_FEATURES,TRAIN_SPEEDUP,THRESHOLDS,CATBOOST_PARAMS.iterations,CATBOOST_PARAMS.learning_rate,CATBOOST_PARAMS.depth,CATBOOST_PARAMS.task_type,CATBOOST_PARAMS.devices,CATBOOST_PARAMS.gpu_ram_part,CATBOOST_PARAMS.border_count,MINIMAL_UPSIDE,MAXIMIZE,INITIAL_WEIGHTS,VAL,VAL_SPEEDUP,BLEND_SEARCH_SPEEDUP,UPPER_QUANTILE,RETRAIN_ON_FULL_DATA,USE_DVC,CATBOOST_PARAMS.max_depth,OUR_BOTS_REL_UPSIDE_THRESHOLD,OUR_BOTS_SHITCOINS_WEIGHT_MULTIPLIER,OUR_BOTS_REL_UPSIDE_NORMALIZATION,UGLINESS_THRESHOLD,MAX_BID,MAX_PRICE_IMPACT,train_model/dvclive/params.yaml:LAST_DAYS_TRAIN,train_model/dvclive/params.yaml:LAST_DAYS_VALIDATION,model_id,model_engine,limit_timedelta_seconds,upper_quantile,minimal_upside,maximize,archive_name
,workspace,baseline,,,4.0,0.0,0.0,0.0,0.0,1.4441866145578894,1.4441866145578894,1.4441866145578894,1.4441866145578894,0.346435546875,0.346435546875,0.346435546875,0.346435546875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,7.50171875,9.296875,37.245000000000005,183.44776859283448,503.54037857055664,22.800000000000008,67.86217498779297,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,10,False,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,ab4e79,10m-ensemble-24-315s-20240901-ab4e79,,,,,
,main,baseline,2024-07-30T13:39:01,,2.0,0.0,0.0,,,4.670452695000815,4.652896515225534,,,1.120361328125,1.11614990234375,,,23.98828125,23.98828125,,,128.0,0.9663281249999999,1.2109375,57.299999999999976,285.49581661224363,503.5190620422363,56.299999999999976,545.3815856933594,969.0,0.09044318597379444,0.11772508130480751,0.22832721936834757,0.31991930925014284,0.3986767005738967,0.4705095116380215,0.5409654334570937,0.6019156286844931,0.6429397037841307,0.6523478418109794,0.6241894909696106,0.5953410786257248,0.5556667048723244,0.5057620103943457,0.4510110206309749,0.3978997632004551,0.3413741613479648,0.279404797754746,0.20738659738740095,0.12207140054037793,0.04137079243655436,0.005526981937948146,0.5432980222859366,0.023024529230642375,0.3648790403108631,0.99,0.99,945.826416015625,852.0557250976562,252.71217346191406,220.50274658203125,1.2315174341201782,0.9741952419281006,0.22018417988992167,0.21984844907707587,0.34309372402603167,0.3450690316943945,0.768361581920904,0.807909604519774,0.001,15,,,,,,,,,,,"[1, 2, 3, 4, 5, 6, 9, 11, 18, 24, 30, 40, 50]",10,30,15,1,True,2,0,3,False,9,True,10,default,3000,0.02,,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,7,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,08724a,9m-ensemble-24-284s-20240711-08724a,284,0.99,0.002,real_upside,fdima_9m-ensemble-24-284s-20240711-08724a_min_max_features_30_max_upside_10_quantile_up.tgz
10m-all-feats-20240831-183903-true,638c51e,branch_commit,2024-08-31T23:59:53,,4.0,0.0,0.0,0.0,0.0,3.041798974108452,3.0336569776909306,3.0336569776909306,3.0336569776909306,0.72967529296875,0.72772216796875,0.72772216796875,0.72772216796875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.397890625,3.203125,37.10000000000001,183.11335868835448,503.54037857055664,28.300000000000004,84.41160583496094,298.0,,0.13984781475869446,0.23540346083584146,0.3163036762949006,0.38845641915811224,0.44936371236666206,0.500118082260684,0.5548615574727046,0.6111056204008426,0.6514854826001053,0.6353606174822855,0.5967725616188477,0.5450964366143756,0.48767558934598204,0.4392275980526879,0.39027740176400855,0.34058654166534996,0.279967040398766,0.20396927417250188,0.11540808629413637,,0.007349010365129239,0.5365739401064306,0.0221422184084215,0.3578752120509132,0.99,0.99,429.0218811035156,202.01458740234375,105.84799194335938,36.000022888183594,0.4477480351924896,0.11848319321870804,0.4008637419478225,0.40086462274702533,0.4032804897331267,0.40328326582176105,0.7241379310344828,0.5852272727272727,0.003,22,0.10430769915822205,0.03734524762622475,,,,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,10,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,a9b794,10m-ensemble-24-315s-20240831-a9b794,315,0.99,0.002,real_upside,fdima_10m-ensemble-24-315s-20240831-a9b794_min_max_features_30_max_upside_10_quantile_up.tgz
7m-all-feats-20240831-183903-true,63e3700,branch_commit,2024-08-31T23:21:58,,4.0,0.0,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.3453124999999995,3.4375,38.60000000000001,190.80154914855956,503.54037857055664,28.399999999999988,84.59640884399414,298.0,,0.13755179351342484,0.23651733471267278,0.32002160779083744,0.3915985925504637,0.4516882547065156,0.504478862720161,0.5609389965574243,0.6144249951446143,0.6517611508843442,0.6274245508475353,0.5894816233017937,0.5370274684757577,0.4801385188051607,0.429788861219208,0.3836520788239509,0.333100326964784,0.27032317636444114,0.19591082774178656,0.11131907772816732,,0.007106148812454493,0.5350951413998245,0.022116973859968334,0.3553618676491171,0.99,0.99,282.7320251464844,218.5015869140625,86.70594787597656,46.52168655395508,0.463220939040184,0.18013282120227814,0.7042684227668589,0.7042532189969315,0.7156157071173322,0.7156190152195591,0.6818181818181818,0.6228571428571429,0.001,21,0.10018394773720277,,0.03703451291631623,,,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,7,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,dc23ce,7m-ensemble-24-221s-20240831-dc23ce,221,0.99,0.002,real_upside,fdima_7m-ensemble-24-221s-20240831-dc23ce_min_max_features_30_max_upside_10_quantile_up.tgz
5m-all-feats-20240831-183903-true,476efd8,branch_commit,2024-08-31T22:20:09,,4.0,0.0,0.0,0.0,0.0,1.4441866145578894,1.4441866145578894,1.4441866145578894,1.4441866145578894,0.346435546875,0.346435546875,0.346435546875,0.346435546875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.4486718749999996,3.515625,35.89999999999999,176.9311803817749,503.54037857055664,28.300000000000004,84.41323852539062,298.0,,0.13714401500591877,0.23979306358393992,0.32474239340661304,0.39665914825993376,0.4572332004498435,0.5097032513643831,0.567925717018043,0.6177778423161251,0.6533190943151723,0.6203008647661793,0.5802108406977624,0.5287343526198721,0.4722966057854837,0.42268990210568425,0.3757541105394193,0.3244522314212604,0.2614458524087587,0.18939447938841053,0.1077114553048537,,0.006698209948220727,0.5322041945507668,0.022110839289946217,0.3534732704621922,0.99,0.99,263.04022216796875,127.26655578613281,85.63613891601562,32.53534698486328,0.4874580502510071,0.1162252351641655,0.4798585983036925,0.4798554318805369,0.48450758597206256,0.48444780989476705,0.7111111111111111,0.5722222222222222,0.003,20,0.09801709962714317,,0.037039726918878135,,,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,5,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,c41bb8,5m-ensemble-24-157s-20240831-c41bb8,157,0.99,0.002,real_upside,fdima_5m-ensemble-24-157s-20240831-c41bb8_min_max_features_30_max_upside_10_quantile_up.tgz
3m-all-feats-20240831-183903-true,e7fe229,branch_commit,2024-08-31T21:30:10,,4.0,0.0,0.0,0.0,0.0,1.4441866145578894,1.4441866145578894,1.4441866145578894,1.4441866145578894,0.346435546875,0.346435546875,0.346435546875,0.346435546875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.492187499999999,3.59375,35.7,176.16415538787842,503.54037857055664,28.300000000000004,84.30282211303711,298.0,,0.13907702624591997,0.24735738154051587,0.33355709669010464,0.4069836287493424,0.46598203296728824,0.5216196141481213,0.5793060070009314,0.624893564569761,0.6522091246631282,0.6039785536883259,0.5647857132383726,0.5131868469637422,0.46151254150889276,0.4089719115636033,0.3628600137100813,0.31124886800847035,0.24867274806676393,0.17931763316782867,0.10244254102524719,,0.006932446892357775,0.5280864873928247,0.022128380895364754,0.35068465756147943,0.99,0.99,-79.99347686767578,-5.373708724975586,26.085498809814453,-28.177589416503906,0.31629496812820435,0.0831177718937397,0.5504641861167245,0.5506466253413786,0.5668443515573383,0.5668761107151419,0.6201117318435754,0.5611111111111111,0.002,12,0.09477966248508651,,,0.0365419562934323,,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,3,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,3fd4ab,3m-ensemble-24-94s-20240831-3fd4ab,94,0.99,0.002,real_upside,fdima_3m-ensemble-24-94s-20240831-3fd4ab_min_max_features_30_max_upside_10_quantile_up.tgz
2m-all-feats-20240831-183903-true,ea4a8a5,branch_commit,2024-08-31T20:39:25,,4.0,0.0,0.0,0.0,0.0,3.041798974108452,3.0336569776909306,3.0336569776909306,3.0336569776909306,0.72967529296875,0.72772216796875,0.72772216796875,0.72772216796875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.3146875000000007,3.203125,36.89999999999999,181.87422313690186,503.54037857055664,28.300000000000004,84.21552276611328,298.0,,0.14156293617980886,0.2535905556282855,0.3423523028176284,0.4168236599348548,0.47688300179793686,0.5382330930270631,0.5880704760601158,0.6343881423945789,0.6510932333049952,0.5896282476907002,0.550125366809972,0.4990827704700148,0.4501295907922172,0.39771818145306365,0.35116513449324094,0.29933694145431466,0.23830853254629758,0.17183579218782694,0.09767142503676832,,0.00720916018180795,0.5240361406613785,0.022143746873095182,0.3487799819443789,0.99,0.99,120.58810424804688,82.8245620727539,77.29391479492188,40.885982513427734,0.25075189769268036,0.21517309546470642,0.5528607749772607,0.5528636836618677,0.5609207650702397,0.5608020315854078,0.6853932584269663,0.6460674157303371,0.001,28,0.09262865544741009,,,,0.03670247942172037,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,2,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,3b3469,2m-ensemble-24-63s-20240831-3b3469,63,0.99,0.002,real_upside,fdima_2m-ensemble-24-63s-20240831-3b3469_min_max_features_30_max_upside_10_quantile_up.tgz
1m-all-feats-20240831-183903-true,d19c059,branch_commit,2024-08-31T19:37:53,,4.0,0.0,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.1709374999999995,3.125,38.60000000000001,190.45993022918702,503.54037857055664,28.199999999999996,84.11796569824219,298.0,,0.14964961457424478,0.2673760228398562,0.36035276624355705,0.4365075199675239,0.5024971648699522,0.5649335276929779,0.6049418158061393,0.6476502758109679,0.6486129972103253,0.5572484636130222,0.5175074316677192,0.46783511034999403,0.4225509239715635,0.3734218857316517,0.3267903112189254,0.276604576617847,0.2197746305275268,0.15833805779041427,0.08946055582562673,,,0.5133698632496562,0.02212378081752619,0.3442138851103325,0.99,0.99,46.207191467285156,30.560577392578125,45.54969024658203,23.270549774169922,0.25791017711162567,0.11766458302736282,0.5194671660080632,0.51946299474558,0.5564111413256482,0.556526753596413,0.6333333333333333,0.6145251396648045,0.003,31,,,,,,0.09018552799284789,0.03639741608409598,0.007003002174019796,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,1,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,a95d20,1m-ensemble-24-31s-20240831-a95d20,31,0.99,0.002,real_upside,fdima_1m-ensemble-24-31s-20240831-a95d20_min_max_features_30_max_upside_10_quantile_up.tgz
10m-all-feats-20240831-071118-true,e596b6a,branch_commit,2024-08-31T12:32:06,,4.0,0.0,0.0,0.0,0.0,3.041798974108452,3.0336569776909306,3.0336569776909306,3.0336569776909306,0.72967529296875,0.72772216796875,0.72772216796875,0.72772216796875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.2784375,3.4375,37.10000000000001,182.78488540649414,503.54037857055664,28.100000000000012,83.73892974853516,298.0,,0.13984781475869446,0.23540346083584146,0.3163036762949006,0.38845641915811224,0.44936371236666206,0.500118082260684,0.5548615574727046,0.6111056204008426,0.6514854826001053,0.6353606174822855,0.5967725616188477,0.5450964366143756,0.48767558934598204,0.4392275980526879,0.39027740176400855,0.34058654166534996,0.279967040398766,0.20396927417250188,0.11540808629413637,,0.007349010365129239,0.5365739401064306,0.0221422184084215,0.3578752120509132,0.99,0.99,429.0218811035156,202.01458740234375,105.84799194335938,36.000022888183594,0.4477480351924896,0.11848319321870804,0.4008637419478225,0.40086462274702533,0.4032804897331267,0.40328326582176105,0.7241379310344828,0.5852272727272727,0.003,22,0.10430769915822205,0.03734524762622475,,,,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,10,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,b9faf4,10m-ensemble-24-315s-20240831-b9faf4,315,0.99,0.002,real_upside,fdima_10m-ensemble-24-315s-20240831-b9faf4_min_max_features_30_max_upside_10_quantile_up.tgz
7m-all-feats-20240831-071118-true,0984b19,branch_commit,2024-08-31T11:54:10,,4.0,0.0,0.0,0.0,0.0,4.619565217391306,4.619565217391306,4.611423220973781,4.611423220973781,1.108154296875,1.108154296875,1.106201171875,1.106201171875,23.98828125,23.98828125,23.98828125,23.98828125,64.0,2.188203125,3.125,38.60000000000001,190.78911895751952,503.54037857055664,28.199999999999996,83.92372131347656,298.0,,0.13755179351342484,0.23651733471267278,0.32002160779083744,0.3915985925504637,0.4516882547065156,0.504478862720161,0.5609389965574243,0.6144249951446143,0.6517611508843442,0.6274245508475353,0.5894816233017937,0.5370274684757577,0.4801385188051607,0.429788861219208,0.3836520788239509,0.333100326964784,0.27032317636444114,0.19591082774178656,0.11131907772816732,,0.007106148812454493,0.5350951413998245,0.022116973859968334,0.3553618676491171,0.99,0.99,282.7320251464844,218.5015869140625,86.70594787597656,46.52168655395508,0.463220939040184,0.18013282120227814,0.7042684227668589,0.7042532189969315,0.7156157071173322,0.7156190152195591,0.6818181818181818,0.6228571428571429,0.001,21,0.10018394773720277,,0.03703451291631623,,,,,,,,"[1, 2, 3, 5, 7, 10]",20,30,15,1,True,2,0,3,False,7,True,1,default,5000,0.05,9,GPU,0:1,0.85,64,0.002,real_upside,zeros,switchback,2,False,0.99,True,True,,-0.5,1.0,0.1,0.01,2.0,0.005,30,15,993ed9,7m-ensemble-24-221s-20240831-993ed9,221,0.99,0.002,real_upside,fdima_7m-ensemble-24-221s-20240831-993ed9_min_max_features_30_max_upside_10_quantile_up.tgz
